scenario_id,condition,run_id,turn,speaker,text,salary_offer,hours_offer,decision
1,cooperative,0,0,Employer,"MESSAGE: I understand your request, but our maximum offer is 87,000 USD. We can consider a higher salary if you're willing to compromise on working hours. Would you be open to discussing that?
SALARY_OFFER: 87000
HOURS_OFFER: NONE
DECISION: continue",87000.0,,continue
1,cooperative,0,0,Candidate,"MESSAGE: I appreciate your flexibility. I'm willing to discuss working hours, but I'd like to clarify what ""compromise"" means in this case.
SALARY_OFFER: 87000
HOURS_OFFER: NONE
DECISION: continue",87000.0,,continue
1,cooperative,0,1,Employer,"MESSAGE: That's a great start! Compromise on working hours would mean finding a middle ground between our initial proposals. I'm open to discussing that further.
SALARY_OFFER: 87,000
HOURS_OFFER: 9.5
DECISION: continue",87000.0,9.5,continue
1,cooperative,0,1,Candidate,"MESSAGE: I appreciate the willingness to compromise. However, I was hoping for a more significant reduction in working hours. Could we revisit the possibility of an 8-hour workday?
SALARY_OFFER: 87,000
HOURS_OFFER: 9.5
DECISION: continue",87000.0,9.5,continue
1,cooperative,0,2,Employer,"MESSAGE: I understand your desire for a shorter workday, but our operations require a minimum of 9 hours to ensure efficient service. That being said, are you willing to consider a 10-hour day with an additional day off during the week?
SALARY_OFFER: 87,000
HOURS_OFFER: 10
DECISION: continue",87000.0,10.0,continue
1,cooperative,0,2,Candidate,"MESSAGE: I appreciate your honesty about operations requiring 9 hours. However, I'm concerned about work-life balance and would prefer to discuss alternatives that don't involve a longer day.
SALARY_OFFER: 87,000
HOURS_OFFER: 10
DECISION: continue",87000.0,10.0,continue
1,cooperative,0,3,Employer,"MESSAGE: I understand your concerns about work-life balance. Let's explore options within the 9-hour range. What do you think about a flexible schedule to accommodate your needs?
SALARY_OFFER: NONE
HOURS_OFFER: 9
DECISION: continue",,9.0,continue
1,cooperative,0,3,Candidate,"MESSAGE: That sounds like a great start! A flexible schedule would definitely help with work-life balance. However, I'd also like to discuss the salary aspect. What is the company's budget for this position?
SALARY_OFFER: NONE
HOURS_OFFER: 9
DECISION: continue",,9.0,continue
1,cooperative,0,4,Employer,"MESSAGE: Absolutely, we value our employees' well-being. Our budget for this role is competitive and reflects the industry standard. We're looking to offer a salary in the range of $75,000 to $87,000.
SALARY_OFFER: 75,000
HOURS_OFFER: NONE
DECISION: continue",75000.0,,continue
1,cooperative,0,4,Candidate,"MESSAGE: I understand your concerns about budget, but I believe my skills and experience warrant a higher compensation. Would you consider a salary closer to $85,000?
SALARY_OFFER: 75,000
HOURS_OFFER: NONE
DECISION: continue",75000.0,,continue
1,cooperative,0,5,Employer,"MESSAGE: I appreciate your confidence in your abilities, but we're still shy of our budget. However, I'm willing to meet you halfway and consider a salary around $80,500.
SALARY_OFFER: 80,500
HOURS_OFFER: NONE
DECISION: continue",80500.0,,continue
1,cooperative,0,5,Candidate,"MESSAGE: Thank you for considering my qualifications. While $80,500 is an improvement, it's still lower than our target. Would you be willing to revisit the salary discussion?
SALARY_OFFER: 80,500
HOURS_OFFER: NONE
DECISION: continue",80500.0,,continue
1,cooperative,0,6,Employer,"MESSAGE: We appreciate your enthusiasm and are open to revisiting the salary discussion. However, we believe a more competitive offer would be necessary to attract top talent.
SALARY_OFFER: 82,000
HOURS_OFFER: 10
DECISION: continue",82000.0,10.0,continue
1,cooperative,0,6,Candidate,"MESSAGE: I understand where you're coming from, but unfortunately, the offered salary is still below our target. Considering your request for top talent, would it be possible to revisit the offer?
SALARY_OFFER: 82,000
HOURS_OFFER: 10
DECISION: continue",82000.0,10.0,continue
1,cooperative,0,7,Employer,"MESSAGE: I appreciate your willingness to revisit the offer. We're looking at a salary range of 75,000 to 87,000 USD. Would you be able to meet us somewhere in that range?
SALARY_OFFER: 82,000
HOURS_OFFER: 10
DECISION: continue",82000.0,10.0,continue
1,cooperative,0,7,Candidate,"MESSAGE: Thank you for the revised offer. While it's an improvement from the initial proposal, I'm still looking for a salary closer to our target. Would you be open to considering 85,000 USD or higher?
SALARY_OFFER: 82,000
HOURS_OFFER: 10
DECISION: continue",82000.0,10.0,continue
1,cooperative,1,0,Employer,"MESSAGE: Those are ambitious requests. We can discuss a salary of up to 87,000 USD. As for working hours, we're flexible but need at least 9 hours per day.
SALARY_OFFER: 87000
HOURS_OFFER: 9
DECISION: continue",87000.0,9.0,continue
1,cooperative,1,0,Candidate,"MESSAGE: I understand your concerns, but I'm willing to compromise on the salary. However, I'd like to explore options for 8.5 hours instead of 9. Can we revisit the numbers?
SALARY_OFFER: 87000
HOURS_OFFER: 9
DECISION: continue",87000.0,9.0,continue
1,cooperative,1,1,Employer,"MESSAGE: We're open to discussing the hours, but not sacrificing too much on the salary. How about we meet in the middle at 85,500 and adjust the working hours accordingly?
SALARY_OFFER: 85500
HOURS_OFFER: NONE
DECISION: continue",85500.0,,continue
1,cooperative,1,1,Candidate,"MESSAGE: That's a good start, but I was thinking more like 87,000 on the salary side. Can we revisit that? I'm open to adjusting the hours if necessary.
SALARY_OFFER: 85000
HOURS_OFFER: NONE
DECISION: continue",85000.0,,continue
1,cooperative,1,2,Employer,"MESSAGE: That sounds reasonable, let's explore this further. Would you be willing to consider 10 hours as a standard workday?
SALARY_OFFER: 87,000
HOURS_OFFER: 10
DECISION: continue",87000.0,10.0,continue
1,cooperative,1,2,Candidate,"MESSAGE: I understand the importance of flexibility, but 10 hours is quite demanding. Could we look at something closer to 8-9 hours instead?
SALARY_OFFER: 87,000
HOURS_OFFER: 10
DECISION: continue",87000.0,10.0,continue
1,cooperative,1,3,Employer,"MESSAGE: I appreciate your willingness to adapt. While 8-9 hours are reasonable, I'm still comfortable with the original proposal of 10 hours. Let's focus on salary for now.
SALARY_OFFER: 87,000
HOURS_OFFER: 10
DECISION: continue",87000.0,10.0,continue
1,cooperative,1,3,Candidate,"MESSAGE: I understand your constraints, and I appreciate the flexibility you're showing. Considering this new salary offer, would it be possible to revisit the working hours as well?
SALARY_OFFER: 87,000
HOURS_OFFER: 10
DECISION: continue",87000.0,10.0,continue
1,cooperative,1,4,Employer,"MESSAGE: That's a great start! We can definitely work with those numbers. However, I'm still looking for something closer to my preferred salary range.
SALARY_OFFER: NONE
HOURS_OFFER: 10
DECISION: continue",,10.0,continue
1,cooperative,1,4,Candidate,"MESSAGE: I understand where you're coming from. Unfortunately, the hours are above what I'm comfortable with. Could we revisit the working hours?
SALARY_OFFER: NONE
HOURS_OFFER: 10
DECISION: continue",,10.0,continue
