scenario_id,condition,run_id,turn,speaker,text,job_description,salary,working_hours,pension_fund,leased_car,promotion_possibilities,decision,candidate_utility,employer_utility
1,cooperative,0,0,Employer,"{
  ""message"": ""That sounds like a good start, but I'd like to make some adjustments."",
  ""job_description"": ""Programmer"",
  ""salary"": ""80000"",
  ""working_hours"": ""9"",
  ""pension_fund"": ""10%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Moderate"",
  ""decision"": ""continue""
}",Programmer,80000,9,10%,Yes,Moderate,continue,0.45454545454545453,0.5909090909090909
1,cooperative,0,0,Candidate,"{
  ""message"": ""I appreciate your willingness to make adjustments. Would you be willing to consider a team management role, given my experience in managing teams?"",
  ""job_description"": ""Team Manager"",
  ""salary"": ""85000"",
  ""working_hours"": ""9"",
  ""pension_fund"": ""20%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Fast"",
  ""decision"": ""continue""
}",Team Manager,85000,9,20%,Yes,Fast,continue,0.8636363636363636,0.22727272727272727
1,cooperative,0,1,Employer,"{
  ""message"": ""I value your experience in team management and believe it would be a great fit. I'm willing to offer the Team Manager role with the salary and working hours we previously discussed, but I'd like to revise the pension fund percentage to 10%."",
  ""job_description"": ""Team Manager"",
  ""salary"": ""85000"",
  ""working_hours"": ""9"",
  ""pension_fund"": ""10%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Fast"",
  ""decision"": ""continue""
}",Team Manager,85000,9,10%,Yes,Fast,continue,0.7727272727272727,0.3181818181818182
1,cooperative,0,1,Candidate,"{
  ""message"": ""I appreciate your willingness to adapt the pension fund percentage. Considering my team management experience, I'm inclined towards accepting the Team Manager role. However, I'd like to propose a slight adjustment: I'll consider working 8 hours a week instead of 9 to ensure better work-life balance."",
  ""job_description"": ""Team Manager"",
  ""salary"": ""85000"",
  ""working_hours"": ""8"",
  ""pension_fund"": ""10%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Fast"",
  ""decision"": ""accept""
}",Team Manager,85000,8,10%,Yes,Fast,accept,0.8636363636363636,0.22727272727272727
1,cooperative,1,0,Employer,"{
  ""message"": ""I appreciate your flexibility on Project Manager. Let's discuss the salary."",
  ""job_description"": ""Programmer"",
  ""salary"": ""80000"",
  ""working_hours"": ""9"",
  ""pension_fund"": ""10%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Moderate"",
  ""decision"": ""continue""
}",Programmer,80000,9,10%,Yes,Moderate,continue,0.45454545454545453,0.5909090909090909
1,cooperative,1,0,Candidate,"{
  ""message"": ""I'm glad we're on the same page with salary. For working hours, I was thinking more along the lines of 10 hours a day."",
  ""job_description"": ""Programmer"",
  ""salary"": ""80000"",
  ""working_hours"": ""10"",
  ""pension_fund"": ""20%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Moderate"",
  ""decision"": ""continue""
}",Programmer,80000,10,20%,Yes,Moderate,continue,0.45454545454545453,0.5909090909090909
1,cooperative,1,1,Employer,"{
  ""message"": ""I'm open to discussing working hours, but I was thinking more along the lines of 9 hours a day. It seems like a balance between productivity and work-life."",
  ""job_description"": ""Programmer"",
  ""salary"": ""80000"",
  ""working_hours"": ""9"",
  ""pension_fund"": ""20%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Moderate"",
  ""decision"": ""continue""
}",Programmer,80000,9,20%,Yes,Moderate,continue,0.5454545454545454,0.5
1,cooperative,1,1,Candidate,"{
  ""message"": ""I appreciate your willingness to compromise on working hours. However, I was thinking more along the lines of 10 hours a day, as I believe it would allow for better project management and team lead responsibilities."",
  ""job_description"": ""Project Manager"",
  ""salary"": ""85000"",
  ""working_hours"": ""10"",
  ""pension_fund"": ""20%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Fast"",
  ""decision"": ""continue""
}",Project Manager,85000,10,20%,Yes,Fast,continue,0.7272727272727273,0.36363636363636365
1,cooperative,1,2,Employer,"{
  ""message"": ""I can see the benefits of more hours for a Project Manager. However, I'm concerned about burnout and impact on work-life balance."",
  ""job_description"": ""Programmer"",
  ""salary"": ""85000"",
  ""working_hours"": ""8"",
  ""pension_fund"": ""10%"",
  ""leased_car"": ""Yes"",
  ""promotion_possibilities"": ""Moderate"",
  ""decision"": ""accept""
}",Programmer,85000,8,10%,Yes,Moderate,accept,0.6363636363636364,0.45454545454545453
1,cooperative,2,0,Employer,"{
  ""message"": ""I am open to discussing a Project Manager position."",
  ""job_description"": ""Programmer"",
  ""salary"": ""80000"",
  ""working_hours"": ""9"",
  ""pension_fund"": ""10%"",
  ""leased_car"": ""No"",
  ""promotion_possibilities"": ""Moderate"",
  ""decision"": ""continue""
}",Programmer,80000,9,10%,No,Moderate,continue,0.36363636363636365,0.6818181818181818
