scenario_id,condition,run_id,turn,speaker,text,salary_offer,hours_offer,decision
1,cooperative,0,0,Employer,"MESSAGE: That's a bit above our budget. We can consider 75,000 USD instead. As for working hours, we're looking at 10 hours a day. Can you adjust your proposal?
SALARY_OFFER: 75000
HOURS_OFFER: 10
DECISION: continue",75000.0,10.0,continue
1,cooperative,0,0,Candidate,"MESSAGE: I understand the concerns about budget, but our target salary is 90,000 USD. We could consider 80,000 USD instead of 75,000. As for working hours, 8 hours is our preferred schedule.
SALARY_OFFER: 75000
HOURS_OFFER: 10
DECISION: continue",75000.0,10.0,continue
1,cooperative,1,0,Employer,"MESSAGE: While your request is ambitious, we can consider a slightly higher salary. However, our company's standard working hours are 9 hours a day. Would you be willing to compromise on the hourly rate and hours?
SALARY_OFFER: 87,000
HOURS_OFFER: 9
DECISION: continue",87000.0,9.0,continue
1,cooperative,2,0,Employer,"MESSAGE: We appreciate your enthusiasm, but our maximum offer is 87,000 USD. As for working hours, we're open to discussing options above 9 hours. How about a compromise on salary and hours?
SALARY_OFFER: 87000
HOURS_OFFER: NONE
DECISION: continue",87000.0,,continue
1,cooperative,2,0,Candidate,"MESSAGE: We understand your constraints, but our target is still not met. Would you consider going up to 90,000 USD? As for working hours, we're willing to explore options below 9 hours.
SALARY_OFFER: 87000
HOURS_OFFER: NONE
DECISION: continue",87000.0,,continue
1,cooperative,2,1,Employer,"MESSAGE: We appreciate your willingness to discuss, but 90,000 USD is above our maximum offer. Would you consider a compromise at 85,000 USD? As for working hours, we prefer 10 hours, but are open to discussing alternatives.
SALARY_OFFER: 85000
HOURS_OFFER: NONE
DECISION: continue",85000.0,,continue
1,cooperative,2,1,Candidate,"MESSAGE: We appreciate your flexibility on salary. However, I was hoping to discuss the working hours as well. Can you consider an 8-hour workday?
SALARY_OFFER: 85000
HOURS_OFFER: NONE
DECISION: continue",85000.0,,continue
1,cooperative,2,2,Employer,"MESSAGE: Thank you for your understanding. While we value your flexibility on salary, our minimum requirement is a 9-hour workday. We're willing to discuss further.
SALARY_OFFER: 75000
HOURS_OFFER: 9
DECISION: continue",75000.0,9.0,continue
1,cooperative,2,2,Candidate,"MESSAGE: I understand the importance of a standard work schedule. However, considering my skills and experience, I'm looking for a salary closer to industry standards. Would you be willing to revisit the compensation package?
SALARY_OFFER: 75,000
HOURS_OFFER: 9
DECISION: continue",75000.0,9.0,continue
1,competitive,0,0,Employer,"MESSAGE: Those numbers are higher than we're comfortable with. We can offer 75,000 USD and 10 hours of work per day.
SALARY_OFFER: 75000
HOURS_OFFER: 10
DECISION: continue",75000.0,10.0,continue
1,competitive,0,0,Candidate,"MESSAGE: We're still not convinced that's a good deal. Our minimum requirement is 85,000 USD, and we'd like to discuss working hours below 9.
SALARY_OFFER: 75000
HOURS_OFFER: 10
DECISION: continue",75000.0,10.0,continue
1,competitive,1,0,Employer,"MESSAGE: Our maximum salary offer is 87,000 USD. We can discuss working hours but our minimum is 9 hours.
SALARY_OFFER: 87000
HOURS_OFFER: 9
DECISION: continue",87000.0,9.0,continue
1,competitive,2,0,Employer,"MESSAGE: That's not feasible. We can discuss the hours, but we need to stay within our budget.
SALARY_OFFER: 75,000
HOURS_OFFER: 10
DECISION: continue",75000.0,10.0,continue
